"Country.Name","Country.Code","Health_Expenditure_2022","Infant_Mortality_2022","GDP_per_Capita_2022","Life_Expectancy_2022"
"Afghanistan","AFG",23.0881691,52,357.261152798144,65.617
"Albania","ALB",6.19368076,8.3,6846.42669381643,78.769
"Algeria","DZA",3.6230433,20,4961.55257664733,76.129
"Andorra","AND",7.53678846,2.6,42414.0590092117,84.016
"Angola","AGO",2.92737579,39.6,2929.69445467272,64.246
"Antigua and Barbuda","ATG",5.7299943,7.5,20105.1989085164,77.483
"Argentina","ARG",9.86305332,8.3,13935.6811110049,75.806
"Armenia","ARM",9.96212864,9.3,6571.97445545099,74.7658536585366
"Australia","AUS",9.92687893,3.2,64997.0136536475,83.2
"Austria","AUT",11.15729332,2.7,52176.6649141178,81.2951219512195
"Azerbaijan","AZE",3.97840643,14.1,7770.594223351,74.125
"Bahamas, The","BHS",7.21692038,11.6,34957.1613279737,74.491
"Bahrain","BHR",3.83745313,7,30470.5219276023,80.992
"Bangladesh","BGD",2.39038587,24.4,2716.48592780431,74.265
"Barbados","BRB",6.29389191,9.6,22164.0260273876,75.676
"Belarus","BLR",6.65919876,2,7994.64806074889,74.1033658536585
"Belgium","BEL",10.76192474,3.1,50822.2518538518,81.7487804878049
"Belize","BLZ",4.23173904,10.9,7068.45478269722,72.19
"Benin","BEN",2.67981386,47.7,1266.42710981159,60.475
"Bhutan","BTN",4.38545895,19.1,3711.32767981591,72.754
"Bolivia","BOL",8.43142891,20.7,3643.92826984604,67.434
"Bosnia and Herzegovina","BIH",8.71644783,5.5,7655.59421024383,76.777
"Botswana","BWA",5.72838593,39.2,8328.70905682185,68.749
"Brazil","BRA",9.14277458,12.6,9281.33334441234,74.872
"Brunei Darussalam","BRN",1.81768215,8.3,36632.9280421411,72.917
"Bulgaria","BGR",7.66357517,5.1,13999.6719197289,74.1609756097561
"Burkina Faso","BFA",6.77182007,46.1,836.118304593682,60.7
"Burundi","BDI",8.39522648,32.4,250.634225368744,62.882
"Cabo Verde","CPV",6.67440224,11.5,4323.31362032709,75.907
"Cambodia","KHM",4.71089554,21.1,2325.03050040841,70.528
"Cameroon","CMR",4.47835922,42.5,1604.87726954895,62.443
"Canada","CAN",11.23432541,4.5,56256.8007264015,81.2453658536585
"Central African Republic","CAF",9.95509052,189.1,467.359825026238,18.818
"Chad","TCD",4.52549791,60.3,966.036468278568,54.528
"Chile","CHL",10.06172848,5.9,15405.6165774073,79.176
"China","CHN",5.36948681,4.8,12970.6056414327,78.202
"Colombia","COL",7.57361269,11.3,6680.44506854481,76.508
"Comoros","COM",8.3803854,36.8,1533.87755332151,66.481
"Congo, Dem. Rep.","COD",3.78614616,45.8,642.612267148918,60.979
"Congo, Rep.","COG",2.19224548,28.5,2620.83804304713,65
"Costa Rica","CRI",7.18368196,8.8,13625.9008491478,79.316
"Cote d'Ivoire","CIV",3.6424129,47.9,2333.37128334477,61.562
"Croatia","HRV",7.21545315,3.9,18466.0955472648,77.5756097560976
"Cyprus","CYP",8.87060547,2.8,33894.44921875,80.434
"Czechia","CZE",8.79904652,2.2,28282.2236715857,78.9292682926829
"Denmark","DNK",9.4758625,3.1,68091.3191138669,81.3048780487805
"Djibouti","DJI",2.49675012,45.9,3133.25779772463,65.54
"Dominica","DMA",6.31969738,32.7,9323.66089490562,71.081
"Dominican Republic","DOM",4.57254791,29.1,10104.2449349081,74.211
"Ecuador","ECU",7.53457022,11.2,6515.58528418336,76.577
"Egypt, Arab Rep.","EGY",4.70438385,16.7,4233.30783744856,71.01
"El Salvador","SLV",9.84079742,9.5,5074.60210221806,71.969
"Equatorial Guinea","GNQ",2.91350007,50.9,7589.29964909381,63.355
"Estonia","EST",6.98701143,1.7,28451.1477825175,77.8439024390244
"Eswatini","SWZ",7.2226615,44.6,3889.65276959161,63.028
"Ethiopia","ETH",2.85274577,37,1011.07332413462,66.897
"Fiji","FJI",4.00910091,23.5,5405.03006162671,67.148
"Finland","FIN",9.6589222,1.8,50440.560224974,81.1878048780488
"France","FRA",11.8819046,3.4,41082.8119320747,82.1292682926829
"Gabon","GAB",2.85591531,27.2,8409.20741452279,67.713
"Gambia, The","GMB",3.41435836,34.9,836.244875582631,64.859
"Georgia","GEO",7.25569582,8.1,6729.84659930283,74.141
"Germany","DEU",12.60513115,3.1,49686.1154582583,80.6080487804878
"Ghana","GHA",3.6993649,29.2,2229.89122647803,65.246
"Greece","GRC",8.49983692,3.3,20971.8349258283,80.7878048780488
"Grenada","GRD",4.94846392,16.9,10535.4588771454,75.151
"Guatemala","GTM",7.44098806,18.4,5358.70127494396,71.206
"Guinea","GIN",3.95847702,63.1,1416.59612011764,60.432
"Guinea-Bissau","GNB",8.11358356,44.3,873.437861875428,63.605
"Guyana","GUY",3.00636959,24.6,17913.4928066879,69.888
"Haiti","HTI",3.20848918,41.5,1760.62635668777,63.948
"Honduras","HND",8.28209972,13.7,3003.28996826399,72.715
"Hungary","HUN",6.68981791,3.2,18483.6366867035,75.8682926829268
"Iceland","ISL",9.28593922,2,75121.0152280628,82.119512195122
